Company Name,Website,City / Location,Segment,What They Make,Revenue Band,Decision-Maker,E1: Producer,E2: Accessible,C3 Score,C4 Score,C5 Score,C6 Score,C7 Score,C8 Score,Total,Overall Verdict,Personalization Hook,
Renuka Auto Components,Aluminium D…,pune,Basket C- Precision auto components ,"Aluminium die casting components, pressure die casting products, CNC machined components",unknown,unknown,PASS -  pressure die casting and CNC machined components in Pune.,PASS -  Active website,"Strong(20) - Specialized in aluminium die casting, CNC machining, pressure die casting tools",Weak(5) -  Leadership  & founder no mention,"Strong(10) - Operates in automotive precision manufacturing, die casting",Moderate(45) -  operates three manufacturing plants.,Strong(20) -  ISO-certified company with quality-control systems,Weak(5)-  Detailed leadership structure,70/100,weak Fit ,multi-plant aluminium die casting,
Dyna Biotech,https://renukagroup.in,pune,Basket A - Specialty biotech,"Fermentors, bioreactors, biotechnology and biopharma equipment, automation, integration and validation systems for biotech and biopharma industries.",Unknown,Dr. Vinodkumar Patil -  Founder,"PASS -  Website states the company is involved in design, production, manufacturing, installation and validation of fermentors, bioreactors and biotech equipment.",PASS - Active website,"Strong(20) - Specialized manufacturer of automated fermentors, bioreactors and customized biotech process systems.","Strong(20) -  Founder Dr. Vinodkumar Patil has biotechnology, vaccine production, process engineering",Strong(10) - Operates in biotechnology and biopharma equipment manufacturing sector.,"Moderate(10) - Company highlights customized systems, international operations and specialized biotech equipment manufacturing.","Strong(20) -  automation, validation, commissioning, integration and engineered process systems.",Moderate(15) -  Founder and Head Operation,95/100,Strong ( Best Fit),customized fermentor and bioreactor manufacturing for biotech and biopharma industries stood out during our research.,
Emcure ,https://www.emcure.com,pune,Basket B - Complex APIs & regulated pharma,"Pharmaceuticals, injectables, biologics and APIs","

₹78,960 million",Satish Ramanlal Mehta - Managing Director & CEO,PASS -  Multiple manufacturing facilities and pharmaceutical production,PASS -  Active website and leadership details available,"Strong(20) - Complex pharmaceuticals, biologics and injectables","Strong(20)
Established leadership team ","Strong(15)
Pharmaceutical and healthcare markets continue to grow globally.","Strong(15)
Expansion into multiple therapeutic segments and international markets demonstrates continued business growth.","Strong(10)
Large-scale pharmaceutical manufacturing requires strong quality systems, compliance and process control.","Moderate(5)
Founding team and advisors are visible, indicating a developing leadership structure.",85/100,Strong ( Best Fit),"strong presence across biologics, injectables and global pharmaceutical markets caught our attention.",
ExoCan Healthcare Technologies,Home | ExoCan,pune,Basket B-Medical devices,Medical and healthcare technology products,₹19.6 crore, Dr Aman Sharma,PASS - Healthcare technology products mentioned,PASS - Active website,Strong(20) - Healthcare technology products,"Weak(10)
no founder name available","Strong(10)
Healthcare technology sector has strong growth potential.","Moderate(15)
Active healthcare technology product development.","Moderate(15)
Healthcare-focused product development indicates a structured operational framework.",Strong(10) - healthcare technology product development.,80/100,Strong ( Best Fit),healthcare technology and innovative medical solutions,
Air Products India,Air Products,pune,Basket A  - Performance chemicals,Industrial gases and specialty gas solutions,"

$142 million per year",unknown,PASS-  Industrial gas manufacturing operations,PASS - Active website,Strong(20) - Industrial gas and specialty gas solutions,"Moderate(15)
Professional leadership structure ","Strong(20)
Industrial gases are critical across manufacturing industries.","Strong(20)
Large-scale industrial projects and manufacturing investments.","Strong(10)
Industrial gas manufacturing involves strict operational and safety standards.",Moderate(5),90/100,Strong ( Best Fit),industrial gas solutions across multiple industries impressed us during our review.,
EcoFresh GreenSync,EcoFresh GreenSync - About | F6S,pune,Basket B - Specialty food & nutraceutical ingredients ,"Sustainable food, agri-tech and nutraceutical solutions",unknown,unknown,PASS - Product-focused company profile visible,PASS - Active website,Strong(20)- Food/agri sustainability solutions,"Weak(5)
Limited leadership information ","Moderate(15)
Sustainability-focused food/agri solutions are growing but scale is unclear.","Moderate(15)
Sustainability-focused product development visible.","Moderate(15)
Business activities show organized execution, though detailed process information is limited.",Weak(5),75/100,Fit,sustainability-focused approach towards food and agricultural solutions,
Garware Technical Fibres Ltd.,https://www.garwarefibres.com,pune,Basket C- Technical textiles & specialty yarns ,"Technical textiles, ropes, nets and geosynthetic products","₹1,580 Crores",Vayu Garware - Chairman & Managing Director,PASS - Manufactures technical textile products,PASS - Active website,Strong(20)- Technical textiles and engineered fibre products,"Moderate(15)
Leadership exists ","Strong(20)
Technical textiles have diverse industrial applications and growth demand.","Strong(20)
Global presence and continuous product innovation.","Strong(10)
International operations, certifications and manufacturing processes reflect mature systems.",Moderate(5)- manufacturing processes reflect mature systems.,90/100,Strong ( Best Fit),technical textile solutions serving customers across numerous international markets stood out.,
MediSimLab,MediSimLab,Pune,Basket B - Medical devices,Medical simulation and healthcare training solutions for clinical skill development.,unknown,unknown,PASS - Develops healthcare simulation and training-related products/solutions.,PASS - Active profile with company information available.,Strong(20) - Specialized focus on medical simulation and healthcare training solutions.,Weak(5) -  Founder and leadership details are not visble,Strong(20) -  Healthcare education and simulation technologies are growing globally.,Moderate(15) - Startup-stage activity and specialized healthcare focus visible.,Moderate(15)- healthcare training focus suggests structured product development.,Weak(5) ,80/100,Strong ( Best Fit),focus on medical simulation and healthcare training solutions,
Therapeia Pharmaceuticals,Therapeia Products - Therapeia Pharmaceuticals Pvt. Ltd,pune,Basket B - Complex APIs & regulated pharma,Pharmaceutical formulations and healthcare products,$17.6 Million,"Afzalmohamad Moinuddin Peerzade, Ilyas Ismail Tambe",PASS -  Pharmaceutical products manufactured,PASS - Active website,Strong(20) - Pharmaceutical formulations,"Weak(5)
Leadership details not clearly available on reviewed pages.","Strong(20)
Pharmaceutical products serve a growing healthcare market.","Moderate(15)
Active pharmaceutical product portfolio.","Moderate(15)
Product-focused pharmaceutical operations suggest basic process discipline.",Strong(20),95/100,Strong ( Best Fit),pharmaceutical product development and healthcare solutions caught our attention.,
Melzer Chemicals,Melzerchemicals Pune | Speciality Chemicals Manufacturer,pune,Basket A - Performance chemicals,Specialty chemicals and industrial chemical products,"

Rs. 266Cr",unknown,PASS -  Specialty chemical manufacturing,PASS - Active website,Strong(20) - Specialty chemical manufacturing,"Weak(5)
Founder/leadership information not prominently visible.","Strong(20)
Specialty chemicals sector continues to expand.","Moderate(15)
Specialty chemical offerings and industrial customer base.","Moderate(15)
Chemical manufacturing requires adherence to quality and production standards.",Weak(5),80/100,Fit,Innovation-driven approach to specialty chemical manufacturing,
Clean Science and Technology,"Clean Science and Technology - Overview, Employees & Contact Details | ensun",pune,Basket A - Custom synthesis & specialty chemicals,Specialty chemicals and performance chemical ingredients,"


₹1,010Cr",Mr. B. V. Katariya -  Chairman & Managing Director,PASS -  Specialty chemical manufacturing company,PASS - Active website,Strong(20) - Specialty and performance chemicals,"Strong(20)
Promoter-led specialty chemical company with visible leadership.","Strong(20)
Specialty and performance chemicals are high-growth segments.","Strong(20)
Capacity expansion and specialty chemical innovation.","Strong(10)
Innovation-driven specialty chemical manufacturing reflects Strong(20) operational systems.",Strong(5)- performance chemicals are high-growth segments.,95/100,Strong ( Best Fit),leadership in precision forging and engineering solutions across multiple industries,
Bharat Forge,bharatforge.com,pune,Basket C - Precision auto components & engineering,"Forged and machined components for automotive, aerospace and defence",15300 Cr,Baba N. Kalyani - Chairman & Managing Director,PASS -  Precision forging and engineering manufacturing,PASS - Active website,Strong(20) - Advanced precision forging and engineering products,"Moderate(15)
Strong leadership but very large corporate structure.","Strong(20)
Defence, aerospace and engineering sectors support growth.","Strong(20)
Diversification into aerospace, defence and advanced engineering.","Strong(10)
Advanced engineering, forging and global operations require highly structured processes.",Weak(5),90/100,Strong ( Best Fit),Integrated textile manufacturing operations,
Vardhman Textiles Ltd.,https://www.vardhman.com/,pune,Basket C - Technical textiles & specialty yarns,"Yarns, fabrics and textile products","₹9,869.05 crore",Neeraj Jain - Managing Director,PASS - Textile manufacturing operations,PASS - Active website,Strong(20) - Textile and yarn products,"Moderate(15)
Professional management and established textile leadership.","Moderate(15)
Textile sector is mature compared to biotech or specialty manufacturing.","Moderate(15)
Established textile manufacturing operations.","Strong(20)
Large-scale textile manufacturing is supported by established operational systems.",Strong(10)- supported by established operational systems.,95/100,Strong ( Best Fit),long-standing expertise in precision textile engineering products,
The Indian Card Clothing Company (ICC),http://cardindia.com,pune,Basket C - Precision auto components & engineering,"Textile card clothing, tooling and precision engineering products",₹78.7 crore.,unknown,PASS -  Medical and wellness device products,PASS - Active website,Strong(20) - Precision textile engineering products,"Moderate(15)
Long operating history and engineering management structure.","Moderate(15)
Niche engineering market with steady but specialized demand.","Moderate(15)
Specialized engineering products with ongoing operations.","Strong(20)
Precision engineering and industrial manufacturing indicate process-oriented operations.","
Moderate(5)",90/100,Strong ( Best Fit),Rehabilitation and wellness-oriented healthcare devices,
eMedica Medical & Wellness Device,https://emedica.in,pune,Basket B - Medical devices,"Rehabilitation, physiotherapy and wellness devices",unknown,Vimal Pitre, PASS - Medical and wellness device productss,PASS - Active website,Strong(20) - Medical and wellness devices,"Weak(5)
no leadership information in  website.","Strong(20)
Healthcare and wellness device demand is increasing.","Moderate(15)
Active healthcare and wellness product offerings.","Moderate(15)
Product-focused healthcare operations suggest some level of operational structure.","
Weak(5)",80/100,Fit,,
